vin,county,city,postal_code,model_year,make,model,electric_vehicle_type,electric_range,electric_utility,2020_census_tract,longitude,latitude
7JRBR0FM0M,Kitsap,Bremerton,98312,2021,VOLVO,S60,PHEV,22,PUGET SOUND ENERGY INC,53035080600,-122.6563,47.56739
KNDCM3LD3N,Whatcom,Ferndale,98248,2022,KIA,NIRO,PHEV,26,"PUGET SOUND ENERGY INC, PUD NO 1 OF WHATCOM COUNTY",53073010506,-122.5945,48.84787
1FAHP3R47C,Whatcom,Ferndale,98248,2012,FORD,FOCUS,BEV,76,"PUGET SOUND ENERGY INC, PUD NO 1 OF WHATCOM COUNTY",53073010503,-122.5945,48.84787
WBY1Z6C54H,Snohomish,Mountlake Terrace,98043,2017,BMW,I3,BEV,81,PUGET SOUND ENERGY INC,53061051200,-122.31111,47.78803
WAUAHBFW9N,King,Redmond,98053,2022,AUDI,RS E-TRON GT,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032328,-122.03287,47.68555
5YJSA1AG9D,King,Redmond,98052,2013,TESLA,MODEL S,BEV,208,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033022902,-122.13158,47.67858
SALGS4RY5L,Douglas,Orondo,98843,2020,LAND ROVER,RANGE ROVER,PHEV,19,PUD NO 1 OF DOUGLAS COUNTY,53017950101,-120.22795,47.62353
WMZ23BS08P,Thurston,Olympia,98502,2023,MINI,COUNTRYMAN,PHEV,17,PUGET SOUND ENERGY INC,53067011100,-122.92333,47.03779
1G6RL1E4XE,King,Seattle,98117,2014,CADILLAC,ELR,PHEV,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600,-122.38418,47.70044
1FTBW1XK1P,Spokane,Spokane,99207,2023,FORD,TRANSIT,BEV,0,MODERN ELECTRIC WATER COMPANY,53063002501,-117.3973,47.67573
YV4H60DP3N,King,Kent,98030,2022,VOLVO,XC60,PHEV,35,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033029603,-122.19975,47.37483
LYVBR0DK9K,King,Mercer Island,98040,2019,VOLVO,XC60,PHEV,17,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033024302,-122.21238,47.57816
KNDCT3L14S,King,Seattle,98177,2025,KIA,NIRO,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600,-122.36498,47.72238
JA4J24A55L,Snohomish,Everett,98208,2020,MITSUBISHI,OUTLANDER,PHEV,22,PUGET SOUND ENERGY INC,53061052121,-122.18637,47.89251
1C4RJYD63R,Kitsap,Kingston,98346,2024,JEEP,GRAND CHEROKEE,PHEV,25,PUGET SOUND ENERGY INC,53035090102,-122.4977,47.79802
WBY2Z2C50F,Franklin,Pasco,99301,2015,BMW,I8,PHEV,14,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF FRANKLIN COUNTY",53021020201,-119.09467,46.23542
WVWPR7AU7J,King,Maple Valley,98038,2018,VOLKSWAGEN,E-GOLF,BEV,125,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032008,-122.04526,47.39394
1GYKPMRL8R,Pierce,Tacoma,98409,2024,CADILLAC,LYRIQ,BEV,0,"BONNEVILLE POWER ADMINISTRATION, CITY OF TACOMA - (WA), LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY",53053071803,-122.47913,47.2198
3GN7DPRR9R,King,Auburn,98092,2024,CHEVROLET,EQUINOX EV,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033031206,-122.1821,47.3199
YV4BR0CM2N,King,Sammamish,98074,2022,VOLVO,XC90,PHEV,18,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032316,-122.02054,47.60326
WVGJNPE28M,Whatcom,Bellingham,98229,2021,VOLKSWAGEN,ID.4,BEV,0,"PUGET SOUND ENERGY INC, PUD NO 1 OF WHATCOM COUNTY",53073000902,-122.45486,48.7449
1FADP5FU7H,King,Federal Way,98003,2017,FORD,C-MAX,PHEV,20,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033030309,-122.3303,47.30151
7JRH60FL9P,Pierce,Tacoma,98407,2023,VOLVO,S60,PHEV,41,"BONNEVILLE POWER ADMINISTRATION, CITY OF TACOMA - (WA), PENINSULA LIGHT COMPANY",53053060500,-122.51134,47.29238
YV4BR0CK4N,King,Sammamish,98029,2022,VOLVO,XC90,PHEV,18,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032222,-122.00292,47.54748
WBA7W4C04L,Clark,Ridgefield,98642,2020,BMW,745E,PHEV,16,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF CLARK COUNTY - (WA)",53011040303,-122.74595,45.81539
YV4H60DZ3N,King,Bellevue,98005,2022,VOLVO,XC60,PHEV,35,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033023701,-122.1621,47.64441
7FCTGAAA7R,Snohomish,Edmonds,98020,2024,RIVIAN,R1T,BEV,0,PUGET SOUND ENERGY INC,53061050502,-122.37689,47.81116
W1KCG4EB4R,King,Redmond,98052,2024,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032321,-122.13158,47.67858
1G1FW6S01K,King,Seattle,98119,2019,CHEVROLET,BOLT EV,BEV,238,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902,-122.3684,47.64586
WP1AE2A25F,King,Sammamish,98074,2015,PORSCHE,CAYENNE,PHEV,14,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032317,-122.02054,47.60326
SADHC2S11L,King,Seattle,98144,2020,JAGUAR,I-PACE,BEV,234,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300,-122.30866,47.57874
1G1RC6E46E,King,Issaquah,98029,2014,CHEVROLET,VOLT,PHEV,38,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032219,-122.00292,47.54748
2T3YL4DVXC,King,Seattle,98199,2012,TOYOTA,RAV4,BEV,103,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803,-122.40092,47.65908
KNDC44LA6P,Spokane,Spokane,99208,2023,KIA,EV6,BEV,0,"BONNEVILLE POWER ADMINISTRATION, AVISTA CORP, INLAND POWER & LIGHT COMPANY",53063010603,-117.45005,47.7333
JA4T5VA95S,Spokane,Liberty Lake,99019,2025,MITSUBISHI,OUTLANDER,PHEV,38,"BONNEVILLE POWER ADMINISTRATION, AVISTA CORP, INLAND POWER & LIGHT COMPANY",53063013204,-117.1015,47.66829
KMHC75LH9H,King,Woodinville,98072,2017,HYUNDAI,IONIQ,BEV,124,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032311,-122.15545,47.75448
